Ref,Val,Package,PosX,PosY,Rot,Side
"3.3V1","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",40.512500,-76.390000,0.000000,top
"5V1","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",40.500000,-72.500000,0.000000,top
"C1","220uf","CP_Elec_10x10",75.500000,-92.000000,0.000000,top
"C2","10uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",60.500000,-80.500000,0.000000,top
"C3","10uf","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",60.500000,-77.500000,0.000000,top
"C4","0.1uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",64.500000,-71.062500,-90.000000,top
"C5","22uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",53.000000,-85.000000,180.000000,top
"C6","22uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",52.937500,-81.000000,180.000000,top
"C7","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",60.500000,-83.500000,0.000000,top
"C8","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",51.000000,-67.425000,90.000000,top
"C9","22uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",46.000000,-70.500000,180.000000,top
"C13","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",87.000000,-82.500000,180.000000,top
"C14","10uF 25v","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",85.700000,-70.500000,180.000000,top
"C15","10uF 25v","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",85.500000,-75.000000,180.000000,top
"C16","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",91.000000,-68.487500,90.000000,top
"C17","22uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",93.437500,-59.000000,0.000000,top
"C18","22uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",93.500000,-63.000000,0.000000,top
"C19","1000uF","CP_Elec_10x10",75.500000,-80.500000,0.000000,top
"C20","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",41.000000,-62.500000,180.000000,top
"C21","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",72.000000,-72.500000,0.000000,top
"C22","22uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",40.500000,-67.500000,180.000000,top
"C23","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",91.000000,-47.500000,0.000000,top
"C24","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",77.500000,-43.000000,90.000000,top
"C25","4.7uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",73.000000,-43.000000,90.000000,top
"D1","SMAJ13A","D_SMA",51.000000,-91.000000,0.000000,top
"D2","SS14","D_SMA",66.000000,-46.000000,180.000000,top
"D3","SS14","D_SMA",55.000000,-67.000000,90.000000,top
"F1","Polyfuse","Fuse_1812_4532Metric",65.500000,-87.500000,0.000000,top
"FB1","600","L_1206_3216Metric",59.000000,-67.500000,90.000000,top
"L1","3.3uH","IND_SPM6530T-3R3M",53.000000,-75.000000,-90.000000,top
"L2","3.3uH","IND_SPM6530T-3R3M",86.450000,-61.000000,0.000000,top
"MOTOR1","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",40.500000,-84.500000,0.000000,top
"Q1","DMP3013SFV","Diodes_PowerDI3333-8",59.500000,-87.475000,0.000000,top
"R1","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",51.000000,-95.500000,180.000000,top
"R2","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",68.000000,-71.000000,90.000000,top
"R5","54.9k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",66.000000,-82.000000,90.000000,top
"R6","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",66.000000,-76.500000,90.000000,top
"R9","330","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",94.500000,-80.500000,180.000000,top
"R10","330","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",95.050000,-92.500000,180.000000,top
"R11","330","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",94.550000,-88.500000,180.000000,top
"R12","330","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",94.550000,-84.500000,180.000000,top
"R13","35.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",91.950000,-73.000000,180.000000,top
"R14","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",92.000000,-77.000000,0.000000,top
"R15","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",95.000000,-68.500000,-90.000000,top
"R16","5.1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",74.500000,-48.550000,90.000000,top
"R17","5.1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",47.000000,-39.000000,0.000000,top
"R18","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",72.000000,-68.500000,0.000000,top
"R19","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",69.000000,-42.000000,0.000000,top
"R20","1.5k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",46.000000,-74.500000,180.000000,top
"R21","680","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",46.000000,-78.000000,180.000000,top
"R22","1.5k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",45.500000,-35.000000,90.000000,top
"R23","680","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",45.950000,-81.500000,180.000000,top
"R24","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",81.500000,-54.000000,90.000000,top
"R25","120","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",93.000000,-51.500000,90.000000,top
"R26","680","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",45.450000,-86.000000,-90.000000,top
"R27","33","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",82.000000,-43.000000,-90.000000,top
"R28","33","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",86.500000,-43.000000,-90.000000,top
"R29","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",91.000000,-43.000000,-90.000000,top
"SW1","SW_Push","SW_SPST_PTS645Sx43SMTR92",67.000000,-62.000000,0.000000,top
"SW2","SW_Push","SW_SPST_PTS645Sx43SMTR92",67.000000,-53.500000,0.000000,top
"SW3","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",40.500000,-80.500000,0.000000,top
"U1","74AHCT125","SOIC-14_3.9x8.7mm_P1.27mm",87.000000,-90.000000,0.000000,top
"U3","TPS563201DDCR","TSOT-23-6_HandSoldering",85.950000,-67.000000,0.000000,top
"U5","AP2112K-3.3","SOT-23-5",46.500000,-65.000000,180.000000,top
"U6","USBLC6-2SC6","SOT-23-6",59.550000,-46.137500,90.000000,top
"U7","THVD1400D","SOIC-8_3.9x4.9mm_P1.27mm",87.000000,-51.500000,0.000000,top
"U8","SM712","SOT23-WIDE",96.500000,-51.500000,-90.000000,top
"U9","TPS565201DDCR","SOT95P280X110-6N",60.255000,-73.950000,0.000000,top
"USB1","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",48.500000,-35.000000,-90.000000,top
